2026-08-11 10:35:25,843 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:36:30,917 | INFO     | StudentManagementAPI | main.py:49 | Root API called.
2026-08-11 10:49:47,132 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:51:22,242 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:51:24,878 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:53:27,879 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:53:30,254 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:53:30,257 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:53:32,584 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:53:56,506 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:53:58,744 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:54:41,516 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:54:43,832 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:54:43,834 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:54:46,290 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:55:53,065 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:55:55,340 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 10:57:48,844 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 10:57:51,072 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:07:33,594 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:07:36,063 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:07:36,066 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:07:38,287 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:10:45,420 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:10:47,717 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:10:47,719 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:10:49,916 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:11:54,297 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:11:59,900 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:12:33,152 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:12:35,378 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:12:35,380 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 11:12:37,724 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 11:14:01,046 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 18:43:20,296 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 19:02:19,553 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-11 19:04:42,405 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 19:08:02,020 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-11 19:30:23,623 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-12 09:29:03,410 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 10:15:25,021 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-12 10:15:28,812 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 11:51:40,014 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 12:01:39,695 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
